node  27, random: 0.80, exploitation, C, payoff: 4.0, current q table: [C: 1.25, D: 0.00]
node  28, random: 0.76, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.69]
node  29, random: 0.48, exploitation, C, payoff: 3.0, current q table: [C: 0.86, D: 0.00]
node  30, random: 0.47, exploitation, C, payoff: 2.0, current q table: [C: 0.58, D: 0.00]
node  31, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node  32, random: 0.53, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 1.16]
node  33, random: 0.09, exploration , C, payoff: 3.0, current q table: [C: 0.86, D: 0.00]
node  34, random: 0.38, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.81]
node  35, random: 0.01, exploration , C, payoff: 3.0, current q table: [C: 0.68, D: 0.00]
node  36, random: 0.81, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.47]
node  37, random: 0.02, exploration , C, payoff: 1.0, current q table: [C: 0.11, D: 0.24]
node  38, random: 0.61, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 1.04]
node  39, random: 0.51, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 1.16]
node  40, random: 0.50, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.47]
node  41, random: 0.55, exploitation, C, payoff: 2.0, current q table: [C: 0.58, D: 0.00]
node  42, random: 0.69, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 1.04]
node  43, random: 0.45, exploitation, C, payoff: 3.0, current q table: [C: 0.96, D: 0.00]
node  44, random: 0.79, exploitation, C, payoff: 1.0, current q table: [C: 0.29, D: 0.00]
node  45, random: 0.58, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 0.93]
node  46, random: 0.93, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.81]
node  47, random: 0.56, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.81]
node  48, random: 0.06, exploration , C, payoff: 2.0, current q table: [C: 0.23, D: 0.47]
node  49, random: 0.80, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.81]
node  50, random: 0.36, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 1.04]
node  51, random: 0.00, None        , C, payoff: 4.0, current q table: [C: 0.00, D: 0.00]
node  52, random: 0.59, exploitation, C, payoff: 3.0, current q table: [C: 0.96, D: 0.00]
node  53, random: 0.68, exploitation, C, payoff: 4.0, current q table: [C: 1.25, D: 0.00]
node  54, random: 0.52, exploitation, D, payoff: 4.8, current q table: [C: 0.32, D: 0.83]
node  55, random: 0.00, None        , C, payoff: 7.0, current q table: [C: 0.00, D: 0.00]
node  56, random: 0.28, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 0.93]
node  57, random: 0.08, exploration , C, payoff: 4.0, current q table: [C: 0.46, D: 1.06]
node  58, random: 0.77, exploitation, C, payoff: 6.0, current q table: [C: 1.54, D: 0.00]
node  59, random: 0.61, exploitation, C, payoff: 5.0, current q table: [C: 1.25, D: 0.00]
node  60, random: 0.00, None        , C, payoff: 6.0, current q table: [C: 0.00, D: 0.00]
node  61, random: 0.86, exploitation, C, payoff: 4.0, current q table: [C: 1.15, D: 0.00]
node  62, random: 0.94, exploitation, D, payoff: 7.2, current q table: [C: 0.00, D: 1.96]
node  63, random: 0.41, exploitation, C, payoff: 5.0, current q table: [C: 1.35, D: 0.00]
node  64, random: 0.97, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 1.49]
node  65, random: 0.01, exploration , C, payoff: 3.0, current q table: [C: 0.96, D: 0.00]
node  66, random: 0.07, exploration , C, payoff: 4.0, current q table: [C: 0.46, D: 1.06]
node  67, random: 0.67, exploitation, D, payoff: 4.8, current q table: [C: 0.30, D: 0.84]
node  68, random: 0.96, exploitation, C, payoff: 6.0, current q table: [C: 1.73, D: 0.00]
node  69, random: 0.90, exploitation, C, payoff: 4.0, current q table: [C: 0.96, D: 0.00]
node  70, random: 0.69, exploitation, C, payoff: 5.0, current q table: [C: 1.53, D: 0.00]
node  71, random: 0.84, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 1.04]
node  72, random: 0.74, exploitation, C, payoff: 3.0, current q table: [C: 0.86, D: 0.00]
node  73, random: 0.61, exploitation, D, payoff: 1.2, current q table: [C: 0.00, D: 0.46]
node  74, random: 0.21, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.69]
node  75, random: 0.52, exploitation, C, payoff: 4.0, current q table: [C: 1.15, D: 0.00]
node  76, random: 0.90, exploitation, C, payoff: 2.0, current q table: [C: 0.58, D: 0.00]
node  77, random: 0.24, exploitation, D, payoff: 3.6, current q table: [C: 0.00, D: 1.04]
node  78, random: 0.97, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 1.38]
node  79, random: 0.00, None        , C, payoff: 5.0, current q table: [C: 0.00, D: 0.00]
node  80, random: 0.54, exploitation, C, payoff: 2.0, current q table: [C: 0.76, D: 0.00]
node  81, random: 0.39, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 1.73]
node  82, random: 0.00, exploration , D, payoff: 2.4, current q table: [C: 0.49, D: 0.27]
node  83, random: 0.38, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.92]
node  84, random: 0.75, exploitation, C, payoff: 4.0, current q table: [C: 1.15, D: 0.00]
node  85, random: 0.53, exploitation, D, payoff: 2.4, current q table: [C: 0.00, D: 0.92]
node  86, random: 0.21, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 1.50]
node  87, random: 0.68, exploitation, C, payoff: 4.0, current q table: [C: 1.15, D: 0.00]
node  88, random: 0.32, exploitation, D, payoff: 2.4, current q table: [C: 0.32, D: 0.59]
node  89, random: 0.32, exploitation, C, payoff: 3.0, current q table: [C: 0.86, D: 0.00]
node  90, random: 0.84, exploitation, D, payoff: 4.8, current q table: [C: 0.00, D: 1.50]
node  91, random: 0.89, exploitation, C, payoff: 4.0, current q table: [C: 1.15, D: 0.00]
node  92, random: 0.69, exploitation, C, payoff: 3.0, current q table: [C: 0.96, D: 0.00]
node  93, random: 0.98, exploitation, D, payoff: 6.0, current q table: [C: 0.00, D: 1.73]
node  94, random: 0.25, exploitation, C, payoff: 4.0, current q table: [C: 1.15, D: 0.00]
node  95, random: 0.10, exploitation, D, payoff: 4.8, current q table: [C: 0.43, D: 0.94]
node  96, random: 0.29, exploitation, C, payoff: 4.0, current q table: [C: 1.25, D: 0.00]
node  97, random: 0.80, exploitation, C, payoff: 2.0, current q table: [C: 0.67, D: 0.00]
node  98, random: 0.80, exploitation, C, payoff: 4.0, current q table: [C: 1.06, D: 0.00]
